record_id,collection_version,review_status,production_ready,sector,subsector,technology,fuel_or_material,pollutant,ef_value,ef_expression,ef_lower,ef_upper,unit,activity_basis,control_basis,geographic_scope,applicability,evidence_origin,factor_reference_period_start,factor_reference_period_end,source_id,source_table_or_location,quality_flag,notes,source_title,publication_year,source_url
EF00101,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid fuel combustion,Bituminous coal,PM2.5,10.1409,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00102,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid fuel combustion,Bituminous coal,VOCs,0.03,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00103,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid fuel combustion,Bituminous coal,NH3,0.00028,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00104,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,SRF,CO,0.2633,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00105,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,SRF,NOx,0.9585,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00106,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,SRF,SOx,0.1021,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00107,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,SRF,TSP,0.0587,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00108,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,SRF,PM10,0.0523,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00109,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,SRF,PM2.5,0.0283,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00110,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,SRF,VOCs,0.0056,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00111,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,SRF,NH3,0.7674,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00112,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,Bio-SRF,CO,0.2175,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00113,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,Bio-SRF,NOx,0.3354,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00114,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,Bio-SRF,TSP,0.0097,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00115,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,Bio-SRF,PM10,0.009,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00116,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,Bio-SRF,PM2.5,0.0084,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00117,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,Bio-SRF,VOCs,0.0019,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00118,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Solid recovered fuel,Bio-SRF,NH3,0.0337,,,,kg/ton-fuel,fuel consumed,controlled only for SRF/Bio-SRF; otherwise handbook basis,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00119,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-A oil,CO,0.6,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00120,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-A oil,NOx,5.99,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00121,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-A oil,SOx,,18*S,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00122,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-A oil,TSP,0.84,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00123,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-A oil,PM10,0.77028,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00124,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-A oil,PM2.5,0.7678,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00125,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-A oil,VOCs,0.03,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00126,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-A oil,NH3,0.096,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00127,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-B oil,CO,0.6,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00128,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-B oil,NOx,2.47,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00129,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-B oil,SOx,,14.3*S,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00130,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-B oil,TSP,1.2,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00131,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-B oil,PM10,1.1004,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00132,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-B oil,PM2.5,0.7678,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00133,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-B oil,VOCs,0.154,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00134,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-B oil,NH3,0.096,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00135,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-C oil,CO,0.6,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00136,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-C oil,NOx,6.64,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00137,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-C oil,SOx,,14.3*S,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00138,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-C oil,TSP,,1.1*S+0.39,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00139,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-C oil,PM10,,1.0087*S+0.35763,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00140,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-C oil,PM2.5,,0.57715*S+0.19066,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00141,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-C oil,VOCs,0.154,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00142,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,B-C oil,NH3,0.096,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00143,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Diesel,CO,0.6,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00144,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Diesel,NOx,2.4,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00145,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Diesel,SOx,,17*S,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00146,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Diesel,TSP,0.24,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00147,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Diesel,PM10,0.22008,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00148,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Diesel,PM2.5,0.0995,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00149,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Diesel,VOCs,0.03,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00150,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Diesel,NH3,0.096,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00151,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Kerosene,CO,0.6,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00152,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Kerosene,NOx,2.4,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00153,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Kerosene,SOx,,17*S,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00154,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Kerosene,TSP,0.24,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00155,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Kerosene,PM10,0.22008,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00156,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Kerosene,PM2.5,0.07195,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00157,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Kerosene,VOCs,0.03,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00158,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,Kerosene,NH3,0.096,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00159,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,LPG,CO,0.384,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00160,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,LPG,NOx,2.28,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
EF00161,1.0.0,superseded_pending_capss_vii_diff,false,Industry,Manufacturing combustion,Industrial boiler,LPG,SOx,0.01,,,,kg/kL-fuel,fuel consumed,not specified,Korea,CAPSS inventory default,CAPSS default,,,capss_handbook_vi_mirror,CAPSS VI Table 3-3,CAPSS_VI_needs_VII_diff,S = fuel sulfur content in percent.,National Air Pollutant Emissions Estimation Method Handbook VI,2023,https://www.scribd.com/document/742589271/
